Latitude,Longitude,Radius,Volume,Density,Mass,Velocity,Radiated Energy,Impact Energy
28.7,11.4,2.203215803528199,44.798113276316805,1028346233.2229636,81580,13.1,3480000000000.0,7.0
40.8,41.7,0.0566541206621536,0.0007616985324416,20433307.72314812,1621,14.9,57000000000.0,0.18
62.7,60.3,0.0346219626268717,0.0001738375765911,8369966.889679428,664,18.2,32000000000.0,0.11
48.0,51.0,0.0598015718100511,0.000895831658782,34979906.805512674,2775,11.7,58000000000.0,0.19
51.5,51.4,0.0409168649226665,0.000286943017108,12958322.232816946,1028,15.9,37000000000.0,0.13
2.0,119.2,0.0314745114789742,0.0001306067442458,8823760.275264457,700,16.9,29000000000.0,0.1
48.7,80.1,0.0346219626268717,0.0001738375765911,16916408.984864146,1342,12.8,31000000000.0,0.11
39.8,31.7,0.0409168649226665,0.000286943017108,15164262.30163306,1203,14.7,38000000000.0,0.13
23.1,60.7,0.0723913764016408,0.0015890922572389,30883160.963425603,2450,13.7,73000000000.0,0.23
8.2,57.8,0.0535066695142562,0.0006416709344797,10096902.8292669,801,20.6,52000000000.0,0.17
29.8,12.7,0.0308450212493947,0.0001229260228302,8647285.069759168,686,16.9,28000000000.0,0.098
49.3,116.9,0.0409168649226665,0.000286943017108,15164262.30163306,1203,14.7,38000000000.0,0.13
18.0,6.5,0.0377694137747691,0.0002256884540567,22475377.958280757,1783,11.6,36000000000.0,0.12
5.3,115.2,0.2266164826486147,0.0487487060762644,78556677.19349729,6232,15.2,267000000000.0,0.72
56.6,25.3,0.0440643160705639,0.0003583849062105,11521309.84513102,914,17.5,42000000000.0,0.14
21.5,29.3,0.0535066695142562,0.0006416709344797,14319702.389572034,1136,17.3,52000000000.0,0.17
54.2,133.0,0.5035921836635884,0.5349652244308855,218085537.889072,17301,13.6,636000000000.0,1.6
33.1,173.7,0.0314745114789742,0.0001306067442458,12491923.475410111,991,14.2,29000000000.0,0.1
22.1,25.7,0.0280123152162871,9.20737058842326e-05,3668163.200145653,291,24.7,25000000000.0,0.089
21.0,86.6,1.4478275280328163,12.712738057911288,350101596.97885007,27774,18.2,2150000000000.0,4.6
70.0,9.1,1.2589804591589708,8.358831631732583,340861859.433466,27041,17.2,1851000000000.0,4.0
2.5,29.6,0.0280123152162871,9.20737058842326e-05,10966673.48497154,870,14.3,25000000000.0,0.089
21.9,130.4,0.0409168649226665,0.000286943017108,18239973.02615381,1447,13.4,40000000000.0,0.13
69.8,111.7,0.0258090994127589,7.201237936133017e-05,7235483.425716855,574,16.9,23000000000.0,0.082
51.0,21.1,0.0377694137747691,0.0002256884540567,21719055.648972373,1723,11.8,36000000000.0,0.12
48.6,90.4,0.1290454970637945,0.0090015474201662,31538640.29815953,2502,18.1,141000000000.0,0.41
60.2,170.0,2.014368734654353,34.23777436357667,163642936.99069026,12982,31.4,3114000000000.0,6.4
59.0,45.8,0.0377694137747691,0.0002256884540567,14181043.299532164,1125,14.6,36000000000.0,0.12
71.7,116.4,0.0598015718100511,0.000895831658782,28778063.86918394,2283,12.9,59000000000.0,0.19
45.8,53.6,0.0503592183663588,0.0005349652244308,30492394.436949603,2419,11.5,50000000000.0,0.16
40.8,63.4,0.0346219626268717,0.0001738375765911,9151499.942631423,726,17.4,32000000000.0,0.11
52.8,38.1,0.8812863214112795,2.867079249684275,340420671.4197028,27006,14.4,1224000000000.0,2.8
48.8,67.8,0.1164556924722048,0.0066156234162836,71774987.15336546,5694,11.4,124000000000.0,0.37
48.7,139.1,0.1007184367327176,0.004279721795447,48467654.65484548,3845,12.9,105000000000.0,0.32
21.3,130.1,0.0299007859050255,0.0001119789573477,5861497.897139961,465,20.2,27000000000.0,0.095
53.1,109.9,0.1290454970637945,0.0090015474201662,62106666.96603997,4927,12.9,142000000000.0,0.41
44.8,131.0,0.0440643160705639,0.0003583849062105,16777749.894824274,1331,14.5,41000000000.0,0.14
75.4,49.6,0.0258090994127589,7.201237936133017e-05,11861654.884319792,941,13.2,23000000000.0,0.082
45.0,95.5,0.0629490229579485,0.0010448539539665,13676828.426659908,1085,19.2,61000000000.0,0.2
61.0,146.7,1.1960314362010225,7.166653270256723,633218248.096621,50234,12.3,1750000000000.0,3.8
24.2,135.0,0.0308450212493947,0.0001229260228302,19008900.707284003,1508,11.4,28000000000.0,0.098
51.8,178.5,0.0692439252537434,0.0013907006127295,18101313.936113942,1436,17.5,71000000000.0,0.22
3.2,6.6,0.4091686492266655,0.2869430171080701,220190634.9833136,17468,12.2,519000000000.0,1.3
21.3,154.7,0.1101607901764099,0.0055997641595395,19084532.93821484,1514,21.5,119000000000.0,0.35
56.9,172.4,15.422510624697392,15365.752853776668,6678880627.553173,529844,13.6,31300000000000.0,49.0
33.5,144.9,0.0346219626268717,0.0001738375765911,19248402.77189832,1527,12.0,33000000000.0,0.11
31.0,145.9,0.0723913764016408,0.0015890922572389,30441972.94966238,2415,13.8,73000000000.0,0.23
35.7,31.7,0.0299007859050255,0.0001119789573477,14168437.927710358,1124,13.0,27000000000.0,0.095
7.5,3.6,0.0723913764016408,0.0015890922572389,13273456.528362105,1053,20.9,72000000000.0,0.23
83.7,171.2,0.1038658878806151,0.004693614567962,13966751.978561455,1108,24.4,112000000000.0,0.33
68.0,149.0,0.1668149108385636,0.0194443402630851,30000784.935899157,2380,21.1,188000000000.0,0.53
31.8,137.1,0.0692439252537434,0.0013907006127295,17496256.08866724,1388,17.8,69000000000.0,0.22
40.5,76.6,0.0849811809932305,0.0025707325469905,29458753.94756148,2337,15.2,87000000000.0,0.27
32.6,113.5,0.0409168649226665,0.000286943017108,8432993.74878846,669,19.7,40000000000.0,0.13
46.9,7.5,0.0409168649226665,0.000286943017108,24769555.629849512,1965,11.5,38000000000.0,0.13
23.4,170.9,0.0503592183663588,0.0005349652244308,13954146.60673965,1107,17.0,49000000000.0,0.16
1.0,48.6,0.1384878505074868,0.011125604901836,17597099.06324169,1396,25.1,153000000000.0,0.44
38.0,158.0,10.386588788061507,4693.61456796209,2539465601.849289,201459,18.1,20000000000000.0,33.0
56.6,69.8,1.1016079017640994,5.599764159539601,372047549.3206149,29515,15.4,1600000000000.0,3.5
7.1,4.1,0.0409168649226665,0.000286943017108,15580239.571752671,1236,14.5,40000000000.0,0.13
36.1,5.5,0.0629490229579485,0.0010448539539665,26471280.82579337,2100,13.8,64000000000.0,0.2
32.3,67.2,0.0377694137747691,0.0002256884540567,9441423.494532969,749,17.9,35000000000.0,0.12
45.8,172.7,0.5350666951425626,0.6416709344797213,238682715.4459036,18935,13.4,700000000000.0,1.7
31.1,45.6,0.147930203951179,0.0135599840078339,12983532.97646056,1030,30.2,163000000000.0,0.47
53.5,103.9,0.0409168649226665,0.000286943017108,23143462.66483649,1836,11.9,37000000000.0,0.13
51.8,11.2,0.0503592183663588,0.0005349652244308,20282043.261286445,1609,14.1,50000000000.0,0.16
32.0,12.1,0.0314745114789742,0.0001306067442458,12668398.6809154,1005,14.1,29000000000.0,0.1
0.7,11.6,0.1762572642822559,0.0229366339974742,58753638.06143948,4661,15.5,202000000000.0,0.56
45.7,135.0,0.0881286321411279,0.0028670792496842,25298981.24636538,2007,16.7,90000000000.0,0.28
54.5,9.2,0.1510776550990765,0.0144440610596339,35345462.58834506,2804,18.5,169000000000.0,0.48
24.0,140.3,0.0229763933796512,5.080824382627678e-05,7008586.73292434,556,16.2,20000000000.0,0.073
46.3,179.3,0.1321929482116919,0.0096763924676844,71132113.19045334,5643,12.2,143000000000.0,0.42
27.3,71.5,5.665412066215369,761.6985324416318,1230990190.6303227,97656,19.2,10400000000000.0,18.0
61.8,135.5,0.1227505947679996,0.0077474614619178,33618526.648757584,2667,17.1,132000000000.0,0.39
59.8,16.8,0.1038658878806151,0.004693614567962,29824309.730393864,2366,16.7,111000000000.0,0.33
11.4,135.8,0.0377694137747691,0.0002256884540567,11243991.66505128,892,16.4,36000000000.0,0.12
15.8,11.9,0.3776941377476912,0.2256884540567797,35723623.74299925,2834,29.1,458000000000.0,1.2
26.6,12.6,0.0346219626268717,0.0001738375765911,12000313.97435966,952,15.2,32000000000.0,0.11
37.1,115.7,0.0377694137747691,0.0002256884540567,31488218.810872305,2498,9.8,36000000000.0,0.12
45.7,26.9,0.1258980459158971,0.0083588316317325,7903568.132272593,627,35.7,136000000000.0,0.4
19.9,13.8,0.0660964741058459,0.0012095490584605,18971084.591818582,1505,16.7,67000000000.0,0.21
38.8,51.3,0.0755388275495382,0.0018055076324542,29584807.665779542,2347,14.3,77000000000.0,0.24
72.8,147.3,0.0660964741058459,0.0012095490584605,11231386.293229474,891,21.7,66000000000.0,0.21
40.8,127.1,0.0346219626268717,0.0001738375765911,4462301.624919455,354,24.9,31000000000.0,0.11
36.4,41.5,0.1227505947679996,0.0077474614619178,28727642.381896712,2279,18.5,133000000000.0,0.39
78.3,5.0,0.0818337298453331,0.0022955441368645,42618762.12952733,3381,12.4,85000000000.0,0.26
53.3,90.8,0.3147451147897427,0.1306067442458216,64300001.66303428,5101,19.8,394000000000.0,1.0
55.8,52.5,0.0308450212493947,0.0001229260228302,5596785.088882027,444,21.0,28000000000.0,0.098
20.7,14.5,0.1951419711696404,0.0311272441426181,53446776.524459,4240,17.1,224000000000.0,0.62
69.5,179.7,0.1101607901764099,0.0055997641595395,13777671.40123436,1093,25.3,118000000000.0,0.35
34.3,44.9,0.0535066695142562,0.0006416709344797,27429289.08425065,2176,12.5,53000000000.0,0.17
32.8,165.1,0.0629490229579485,0.0010448539539665,36202627.872227885,2872,11.8,64000000000.0,0.2
44.7,25.7,0.2297639337965121,0.0508082438262767,50446698.03086908,4002,19.1,270000000000.0,0.73
48.7,21.0,0.1384878505074868,0.011125604901836,48644129.86035077,3859,15.1,153000000000.0,0.44
23.5,56.8,0.5980157181005111,0.8958316587820904,175933174.51695147,13957,16.5,806000000000.0,1.9
2.4,169.7,0.0440643160705639,0.0003583849062105,25777985.375594024,2045,11.7,41000000000.0,0.14
71.5,93.4,0.0629490229579485,0.0010448539539665,40185925.3679187,3188,11.2,61000000000.0,0.2
0.8,162.0,0.1353403993595893,0.0103841504147525,53761910.82000416,4265,14.2,150000000000.0,0.43
38.3,23.5,0.1164556924722048,0.0066156234162836,21756871.76443779,1726,20.7,124000000000.0,0.37
8.0,11.2,0.0346219626268717,0.0001738375765911,3340423.532778688,265,28.8,33000000000.0,0.11
36.9,143.6,0.0944235344369228,0.0035263820946371,19286218.887363743,1530,19.8,100000000000.0,0.3
36.8,54.7,0.0566541206621536,0.0007616985324416,19639169.29837432,1558,15.2,57000000000.0,0.18
18.9,141.2,0.2108792269091276,0.039281676219606,109843210.0552207,8714,12.4,245000000000.0,0.67
57.4,109.9,0.0723913764016408,0.0015890922572389,11861654.884319792,941,22.1,72000000000.0,0.23
48.0,53.3,0.1636674596906662,0.0183643530949164,53862753.79457861,4273,15.6,184000000000.0,0.52
8.0,52.5,0.0258090994127589,7.201237936133017e-05,12416291.244479273,985,12.9,23000000000.0,0.082
36.2,6.7,0.0346219626268717,0.0001738375765911,13752460.657590749,1091,14.2,31000000000.0,0.11
38.9,7.0,0.0280123152162871,9.20737058842326e-05,10096902.8292669,801,14.9,25000000000.0,0.089
59.0,154.3,0.0229763933796512,5.080824382627678e-05,2432836.761608629,193,27.5,20000000000.0,0.073
21.5,56.2,0.0280123152162871,9.20737058842326e-05,7853146.644985368,623,16.9,25000000000.0,0.089
31.5,18.6,0.0472117672184614,0.0004407977618296,12340659.013548434,979,17.5,46000000000.0,0.15
44.2,176.2,0.258090994127589,0.0720123793613301,75922154.48273975,6023,16.5,309000000000.0,0.82
69.2,22.5,0.0598015718100511,0.000895831658782,12466712.731766498,989,19.6,59000000000.0,0.19
28.0,41.5,0.0503592183663588,0.0005349652244308,24227524.64151184,1922,12.9,50000000000.0,0.16
64.1,109.9,0.0239206287240204,5.733322616205377e-05,12655793.309093593,1004,12.3,21000000000.0,0.076
3.2,64.3,0.0299007859050255,0.0001119789573477,6164026.820863314,489,19.7,27000000000.0,0.095
58.4,160.2,0.9127608328902538,3.1853678854113423,140638133.41589364,11157,22.8,1264000000000.0,2.9
67.7,18.3,0.236058836092307,0.055099720228706,127024331.84834276,10077,12.2,280000000000.0,0.75
41.5,21.9,0.236058836092307,0.055099720228706,65421879.75517505,5190,17.0,280000000000.0,0.75
61.7,132.6,2.3920628724020445,57.33322616205378,730077925.1753812,57918,16.2,3819000000000.0,7.6
66.8,67.3,0.0440643160705639,0.0003583849062105,26219173.389357246,2080,11.6,41000000000.0,0.14
32.8,165.6,0.0472117672184614,0.0004407977618296,29610018.40942316,2349,11.3,46000000000.0,0.15
31.9,96.2,2.990078590502556,111.9789573477613,1294874215.0232372,102724,13.6,4898000000000.0,9.5
18.3,74.6,0.0314745114789742,0.0001306067442458,9970849.111048836,791,15.9,29000000000.0,0.1
35.1,34.2,0.0723913764016408,0.0015890922572389,47055853.01080317,3733,11.1,74000000000.0,0.23
14.9,66.2,1.8884706887384564,28.211056757097477,681332952.340456,54051,14.9,2947000000000.0,6.0
8.3,27.0,0.3776941377476912,0.2256884540567797,154340172.58619717,12244,14.0,492000000000.0,1.2
71.2,106.7,0.1258980459158971,0.0083588316317325,50711410.83912702,4023,14.1,137000000000.0,0.4
75.8,92.8,0.0314745114789742,0.0001306067442458,14685258.172404418,1165,13.1,30000000000.0,0.1
2.1,111.8,0.0346219626268717,0.0001738375765911,14987787.09612777,1189,13.6,31000000000.0,0.11
47.5,174.4,0.0849811809932305,0.0025707325469905,24996452.32264203,1983,16.5,89000000000.0,0.27
19.4,66.0,0.0912760832890253,0.0031853678854113,30429367.57784057,2414,15.5,97000000000.0,0.29
38.6,33.5,0.1038658878806151,0.004693614567962,32900020.45491462,2610,15.9,109000000000.0,0.33
19.1,25.0,1.1016079017640994,5.599764159539601,538551905.7148553,42724,12.8,1610000000000.0,3.5
3.0,154.9,0.1668149108385636,0.0194443402630851,31173084.51532715,2473,20.7,190000000000.0,0.53
6.6,69.7,0.0377694137747691,0.0002256884540567,10222956.547484964,811,17.2,35000000000.0,0.12
35.5,30.7,3.147451147897427,130.6067442458216,1721919001.6023934,136602,12.1,5110000000000.0,10.0
20.9,31.4,0.3147451147897427,0.1306067442458216,142516333.8173428,11306,13.3,395000000000.0,1.0
49.2,6.3,0.0346219626268717,0.0001738375765911,15668477.174505316,1243,13.3,32000000000.0,0.11
13.3,142.2,0.1384878505074868,0.011125604901836,21328289.12249637,1692,22.8,152000000000.0,0.44
34.1,174.5,4.406431607056398,358.38490621053444,1431894606.7262726,113594,15.7,7560000000000.0,14.0
57.9,146.1,0.1321929482116919,0.0096763924676844,18845030.87360052,1495,23.7,146000000000.0,0.42
14.9,158.2,0.0503592183663588,0.0005349652244308,19450088.721047223,1543,14.4,49000000000.0,0.16
32.4,0.1,0.1353403993595893,0.0103841504147525,72833838.3863972,5778,12.2,150000000000.0,0.43
32.0,92.9,0.2675333475712813,0.0802088668099651,35698412.99935564,2832,24.5,323000000000.0,0.85
56.5,94.9,0.0692439252537434,0.0013907006127295,16929014.35668595,1343,18.1,70000000000.0,0.22
12.5,107.2,0.0258090994127589,7.201237936133017e-05,4966516.497791708,394,20.4,23000000000.0,0.082
1.9,20.6,0.0755388275495382,0.0018055076324542,18265183.769797426,1449,18.2,76000000000.0,0.24
39.5,2.0,0.1353403993595893,0.0103841504147525,47534857.140031815,3771,15.1,147000000000.0,0.43
55.5,68.9,0.0409168649226665,0.000286943017108,20319859.376751862,1612,12.7,39000000000.0,0.13
24.9,47.8,0.0598015718100511,0.000895831658782,16185297.419199375,1284,17.2,59000000000.0,0.19
71.1,43.5,0.1353403993595893,0.0103841504147525,67211842.55387156,5332,12.7,148000000000.0,0.43
51.2,84.6,0.1825521665780507,0.0254829430832907,80220586.27397573,6364,13.5,210000000000.0,0.58
15.0,109.7,0.0377694137747691,0.0002256884540567,6416134.257299441,509,21.7,34000000000.0,0.12
10.4,143.3,0.1038658878806151,0.004693614567962,11080121.831367798,879,27.4,110000000000.0,0.33
26.8,79.1,0.0239206287240204,5.733322616205377e-05,9630504.071860066,764,14.1,21000000000.0,0.076
37.7,39.6,0.0849811809932305,0.0025707325469905,15000392.467949577,1190,21.3,88000000000.0,0.27
76.9,69.0,0.6609647410584597,1.209549058460554,88918292.83102211,7054,24.4,877000000000.0,2.1
20.6,87.6,0.0258090994127589,7.201237936133017e-05,6516977.231873892,517,17.8,23000000000.0,0.082
26.9,17.7,0.1542251062469739,0.0153657528537766,23143462.66483649,1836,23.1,172000000000.0,0.49
13.5,37.1,0.0692439252537434,0.0013907006127295,32307567.97928972,2563,13.1,71000000000.0,0.22
57.0,143.7,0.1636674596906662,0.0183643530949164,22198059.778201014,1761,24.3,184000000000.0,0.52
39.4,95.9,0.1258980459158971,0.0083588316317325,31122663.02803992,2469,18.0,136000000000.0,0.4
22.5,83.8,0.4406431607056397,0.3583849062105343,132835408.2581955,10538,16.3,579000000000.0,1.4
49.2,85.5,0.2045843246133327,0.0358678771385087,57367047.16104078,4551,16.9,237000000000.0,0.65
50.2,146.4,0.2014368734654353,0.0342377743635766,57165361.21189188,4535,16.8,232000000000.0,0.64
25.3,6.7,0.346219626268717,0.1738375765911885,91590631.65724508,7266,17.4,422000000000.0,1.1
32.75,2.1,0.0629490229579485,0.0010448539539665,14407939.992324678,1143,18.7,62000000000.0,0.2
28.1,64.6,0.7868627869743567,2.0407303788409625,283885578.7989012,22521,14.9,1066000000000.0,2.5
